BSSID,Channel,Privacy,Ciper,Auth,Power,ESSID,Lat,Lon
00:01:9F:14:6F:70,-71,00:01:9F:14:6F:70,RONE
6E:19:8F:99:64:EF,-79,00:01:9F:14:6F:70,RONE
00:0D:67:67:C7:69,-69,00:0D:67:67:C7:69,attwifi
00:0D:67:8B:8E:31,-63,00:0D:67:8B:8E:31,XFINITY
00:0D:67:8B:8E:32,-65,00:0D:67:8B:8E:32,xfinitywifi
00:0D:67:8B:8E:33,-65,00:0D:67:8B:8E:33,CableWiFi
00:0D:67:8B:8E:38,-55,00:0D:67:8B:8E:38,None
00:0D:67:8B:AB:7D,-65,00:0D:67:8B:AB:7D,XFINITY
00:0D:67:8B:AB:7E,-55,00:0D:67:8B:AB:7E,xfinitywifi
00:0D:67:8B:AB:7F,-55,00:0D:67:8B:AB:7F,CableWiFi
00:0D:67:8B:AB:84,-47,00:0D:67:8B:AB:84,None
00:0D:67:8F:91:AD,-33,00:0D:67:8F:91:AD,XFINITY
00:0D:67:8F:91:AE,-35,00:0D:67:8F:91:AE,xfinitywifi
00:0D:67:8F:91:AF,-29,00:0D:67:8F:91:AF,CableWiFi
00:0D:67:8F:91:B4,-19,00:0D:67:8F:91:B4,None
00:0D:67:8F:B0:18,-79,00:0D:67:8F:B0:18,None
00:0D:67:8F:B1:6C,-77,00:0D:67:8F:B1:6C,None
00:0D:67:8F:B2:A5,-73,00:0D:67:8F:B2:A5,XFINITY
00:0D:67:8F:B2:A7,-71,00:0D:67:8F:B2:A7,CableWiFi
00:0D:67:8F:B2:AC,-61,00:0D:67:8F:B2:AC,None
00:0D:67:90:16:55,-61,00:0D:67:90:16:55,XFINITY
00:0D:67:90:16:56,-71,00:0D:67:90:16:56,xfinitywifi
00:0D:67:90:16:57,-71,00:0D:67:90:16:57,CableWiFi
00:0D:67:90:16:5C,-47,00:0D:67:90:16:5C,None
00:0D:67:90:1E:12,-71,00:0D:67:90:1E:12,xfinitywifi
00:0D:67:90:1E:13,-71,00:0D:67:90:1E:13,CableWiFi
00:0D:67:90:1E:18,-69,00:0D:67:90:1E:18,None
00:0D:67:92:F1:09,-39,00:0D:67:92:F1:09,XFINITY
00:0D:67:92:F1:0A,-37,00:0D:67:92:F1:0A,xfinitywifi
00:0D:67:92:F1:0B,-39,00:0D:67:92:F1:0B,CableWiFi
00:0D:67:92:F1:10,-29,00:0D:67:92:F1:10,None
00:0D:97:09:C4:58,-81,00:0D:97:09:C4:58,None
00:0E:58:51:00:89,-71,00:0E:58:51:00:89,None
00:0E:58:51:85:59,-73,00:0E:58:51:85:59,None
00:0F:66:BB:00:04,-73,00:0F:66:BB:00:04,linksys
00:0F:7D:3E:22:31,-73,00:0F:7D:3E:22:31,Impact
00:10:02:23:21:52,-61,00:10:02:23:21:52,Tracey's Volvo Hotspot
B8:44:D9:35:57:CE,-57,00:10:02:23:21:52,Tracey's Volvo Hotspot
00:11:50:01:F0:49,-81,00:11:50:01:F0:49,belkin54g
00:12:17:1C:65:FB,-75,00:12:17:1C:65:FB,linksys
00:12:17:CB:0C:B5,-81,00:12:17:CB:0C:B5,linksys
00:12:5F:11:DF:D2,-51,00:12:5F:11:DF:D2,Liteshow4
88:51:FB:7C:FC:B2,-51,00:12:5F:11:DF:D2,Liteshow4
00:13:10:1B:5E:52,-77,00:13:10:1B:5E:52,Ignition Youth
00:30:67:4F:85:E4,-81,00:13:10:1B:5E:52,Ignition Youth
28:6A:BA:AE:F6:39,-79,00:13:10:1B:5E:52,Ignition Youth
BC:EE:7B:58:82:B0,-79,00:13:10:1B:5E:52,Ignition Youth
00:13:10:AA:10:AC,-81,00:13:10:AA:10:AC,Moffitt
00:14:6A:73:C8:10,-77,00:14:6A:73:C8:10,LFPD
00:14:95:93:84:C9,-79,00:14:95:93:84:C9,mewmewsyarn
00:14:BF:33:E3:02,-77,00:14:BF:33:E3:02,linksys_SES_63574
00:15:FF:27:60:BC,-57,00:15:FF:27:60:BC,VaaH-105987
00:15:FF:8C:EF:99,-79,00:15:FF:8C:EF:99,Verizon-MiFi5510L-EF99
C2:56:27:6E:7F:1D,-77,00:15:FF:8C:EF:99,Verizon-MiFi5510L-EF99
00:15:FF:91:6E:56,-77,00:15:FF:91:6E:56,Verizon-4GLTE-BRV-6E56
00:15:FF:9C:E2:FC,-71,00:15:FF:9C:E2:FC,Verizon-MiFi6620L-E2FC
00:16:B6:36:13:65,-81,00:16:B6:36:13:65,romic
00:18:0A:27:D0:DC,-59,00:18:0A:27:D0:DC,None
24:0A:64:D9:4B:CB,-65,00:18:0A:27:D0:DC,None
28:84:FA:F2:1C:5B,-67,00:18:0A:27:D0:DC,None
B8:AE:ED:75:A6:5E,-67,00:18:0A:27:D0:DC,None
00:18:0A:27:E0:08,-81,00:18:0A:27:E0:08,None
00:18:0A:27:F0:58,-53,00:18:0A:27:F0:58,None
00:18:0A:81:F0:A6,-77,00:18:0A:81:F0:A6,None
00:18:0A:81:F0:D4,-71,00:18:0A:81:F0:D4,None
00:18:0A:81:F8:3A,-75,00:18:0A:81:F8:3A,None
00:18:0A:81:FA:A0,-73,00:18:0A:81:FA:A0,None
00:18:0A:82:B9:DC,-75,00:18:0A:82:B9:DC,None
00:18:4D:91:E1:66,-67,00:18:4D:91:E1:66,ALIRE 1
A0:63:91:70:C5:E1,-67,00:18:4D:91:E1:66,ALIRE 1
00:18:E7:92:20:A7,-73,00:18:E7:92:20:A7,Golf_Maint
00:18:F8:55:9C:25,-83,00:18:F8:55:9C:25,HNetwork
00:19:5B:8C:A0:43,-79,00:19:5B:8C:A0:43,SPS Office
00:19:E3:FB:F1:78,-79,00:19:E3:FB:F1:78,ochisnetwork
00:1A:DD:E8:6C:E4,-65,00:1A:DD:E8:6C:E4,None
00:1B:11:5E:F7:4B,-73,00:1B:11:5E:F7:4B,SPS WIFI
B8:CA:3A:9B:1B:37,-85,00:1B:11:5E:F7:4B,SPS WIFI
00:1B:63:2B:39:2C,-63,00:1B:63:2B:39:2C,Volcano
00:1C:10:08:4D:8E,-71,00:1C:10:08:4D:8E,davidr
00:1C:10:08:CF:A0,-83,00:1C:10:08:CF:A0,linksys
00:1C:D7:69:60:46,-77,00:1C:D7:69:60:46,SILVERCAR
00:1C:D7:70:66:64,-81,00:1C:D7:70:66:64,Audi04240
00:1C:DF:B8:AB:E1,-73,00:1C:DF:B8:AB:E1,ChorginHeadQuarter
00:1C:FB:FD:78:B0,-71,00:1C:FB:FD:78:B0,qwest7008
00:1D:6A:B8:06:4D,-73,00:1D:6A:B8:06:4D,default
00:1D:7E:49:EF:DC,-75,00:1D:7E:49:EF:DC,Client Wifi
00:1D:7E:69:EC:49,-79,00:1D:7E:69:EC:49,linksys
00:1D:7E:DE:53:59,-83,00:1D:7E:DE:53:59,Connect Here
00:1D:CF:8B:6C:00,-71,00:1D:CF:8B:6C:00,HOME-6C02
00:1D:D0:07:84:70,-77,00:1D:D0:07:84:70,ARTvamp
00:1D:D0:1A:2D:10,-77,00:1D:D0:1A:2D:10,HOME-2D12
00:1D:D0:1B:A4:30,-77,00:1D:D0:1B:A4:30,HOME-A432
00:1D:D0:1D:98:50,-75,00:1D:D0:1D:98:50,HOME-9852
00:1D:D0:6F:96:10,-71,00:1D:D0:6F:96:10,HOME-9612
00:1D:D0:EA:24:10,-71,00:1D:D0:EA:24:10,HostWire
00:1D:D1:0A:09:B0,-69,00:1D:D1:0A:09:B0,1445UnitA
DC:A9:71:07:57:DD,-71,00:1D:D1:0A:09:B0,1445UnitA
00:1D:D1:1B:FC:C0,-63,00:1D:D1:1B:FC:C0,Chavez/Stowell
00:00:CA:11:22:33,-67,00:1D:D1:36:35:30,Gesar
00:1D:D1:36:35:30,-49,00:1D:D1:36:35:30,Gesar
00:1D:D1:77:39:E0,-55,00:1D:D1:77:39:E0,HOME-39E2
00:1D:D2:0E:6D:50,-73,00:1D:D2:0E:6D:50,HOME-6D52
00:1D:D2:3F:55:00,-75,00:1D:D2:3F:55:00,Holly
00:1D:D2:61:0F:C0,-75,00:1D:D2:61:0F:C0,HOME-0FC2
00:1D:D2:69:FE:40,-67,00:1D:D2:69:FE:40,HOME-FE42
00:1D:D3:0F:94:C0,-75,00:1D:D3:0F:94:C0,CHOffice
00:1D:D3:A2:F3:A0,-55,00:1D:D3:A2:F3:A0,HOME-F3A2
00:1D:D3:AF:ED:50,-61,00:1D:D3:AF:ED:50,HOME-ED52
00:1D:D3:FF:79:F0,-79,00:1D:D3:FF:79:F0,HOME-79F2
00:1D:D4:3E:C1:10,-71,00:1D:D4:3E:C1:10,revelation
00:1D:D4:8B:A3:F0,-67,00:1D:D4:8B:A3:F0,HOME-A3F2
00:1D:D5:20:73:50,-73,00:1D:D5:20:73:50,HarperUnitA
00:1D:D5:87:9F:50,-71,00:1D:D5:87:9F:50,Boulder2
00:00:CA:11:22:33,-53,00:1D:D5:FA:E4:70,CobraCommandCenter
00:1D:D5:FA:E4:70,-51,00:1D:D5:FA:E4:70,CobraCommandCenter
00:27:09:8D:F1:39,-65,00:1D:D5:FA:E4:70,CobraCommandCenter
00:1D:D6:1C:A2:80,-77,00:1D:D6:1C:A2:80,HOME-A282
00:1D:D6:1F:03:A0,-77,00:1D:D6:1F:03:A0,Borjon
00:1D:D6:2D:16:B0,-73,00:1D:D6:2D:16:B0,HOME-16B2
00:1D:D6:6A:FA:40,-61,00:1D:D6:6A:FA:40,HOME-FA42
00:1D:D6:6C:08:60,-75,00:1D:D6:6C:08:60,HOME-0862
00:1D:D6:F0:41:F0,-81,00:1D:D6:F0:41:F0,HOME-41F2
00:1E:2A:79:8F:1E,-69,00:1E:2A:79:8F:1E,gurung
00:1E:2A:7A:09:52,-59,00:1E:2A:7A:09:52,Daves Network
00:1E:58:38:96:A3,-73,00:1E:58:38:96:A3,Bosco
00:1E:E5:3A:60:48,-71,00:1E:E5:3A:60:48,linksys_SES_63424
00:1E:E5:46:CF:B6,-73,00:1E:E5:46:CF:B6,LGI 2010
00:1E:E5:80:D2:CA,-63,00:1E:E5:80:D2:CA,CFJ
00:1F:33:48:4D:DE,-81,00:1F:33:48:4D:DE,RustNet
00:1F:F3:03:46:BD,-75,00:1F:F3:03:46:BD,Jwise21
00:21:29:88:9E:4F,-65,00:21:29:88:9E:4F,Hlawatsch
B8:E9:37:19:7A:C6,-71,00:21:29:88:9E:4F,Hlawatsch
00:21:E9:B7:67:6C,-61,00:21:E9:B7:67:6C,ShadyPinesMa
00:22:10:AB:A5:40,-69,00:22:10:AB:A5:40,qwest2480
00:22:10:B5:C9:00,-77,00:22:10:B5:C9:00,PELROD1
00:22:2D:A9:AC:85,-71,00:22:2D:A9:AC:85,sarah
00:22:6B:55:E4:B8,-71,00:22:6B:55:E4:B8,mallison2
00:22:6B:8B:F1:AC,-71,00:22:6B:8B:F1:AC,blueparrot
00:A0:A4:13:DA:E3,-71,00:22:6B:8B:F1:AC,blueparrot
00:22:75:14:02:8F,-49,00:22:75:14:02:8F,OH YA
00:22:AA:71:7E:20,-77,00:22:AA:71:7E:20,FBI.Scan
00:23:12:FB:19:1D,-61,00:23:12:FB:19:1D,Kenran Network
00:23:69:41:4F:70,-77,00:23:69:41:4F:70,Bowbers
00:23:69:46:62:F3,-63,00:23:69:46:62:F5,Homer
00:23:69:46:62:F5,-75,00:23:69:46:62:F5,Homer
00:23:69:F3:5B:41,-79,00:23:69:F3:5B:41,megabytes
00:23:6C:BF:65:DB,-59,00:23:6C:BF:65:DB,Centurion759*
00:23:75:1F:CB:70,-77,00:23:75:1F:CB:70,qwest3328
02:0F:B5:6F:FC:46,-79,00:23:75:1F:CB:70,qwest3328
00:23:75:25:75:B0,-67,00:23:75:25:75:B0,qwest4592
00:24:01:6A:B7:EC,-73,00:24:01:6A:B7:EC,Mountain Chai
5C:F5:DA:4D:EA:5D,-75,00:24:01:6A:B7:EC,Mountain Chai
5C:F5:DA:5B:4E:35,-77,00:24:01:6A:B7:EC,Mountain Chai
00:24:01:6B:1B:0A,-77,00:24:01:6B:1B:0A,AmberAir
00:24:01:CC:57:8C,-77,00:24:01:CC:57:8C,None
00:24:36:99:E3:5D,-75,00:24:36:99:E3:5D,EEPnIRP
00:24:7B:0B:1D:76,-55,00:24:7B:0B:1D:76,myqwest8437
90:B2:1F:3B:DF:95,-69,00:24:7B:0B:1D:76,myqwest8437
00:24:7B:0D:00:8E,-67,00:24:7B:0D:00:8E,seminole
00:24:7B:12:23:C6,-67,00:24:7B:12:23:C6,qwest8805
00:24:7B:13:EF:C8,-81,00:24:7B:13:EF:C8,leoc
00:24:7B:23:A8:DA,-77,00:24:7B:23:A8:DA,herbnerds
00:23:15:28:82:44,-77,00:24:7B:27:D2:C4,RBAVS
00:24:7B:27:D2:C4,-75,00:24:7B:27:D2:C4,RBAVS
00:0E:58:40:95:B6,-69,00:24:7B:29:5C:CC,OldFriends
00:24:7B:29:5C:CC,-75,00:24:7B:29:5C:CC,OldFriends
34:DE:1A:2A:11:10,-75,00:24:7B:29:5C:CC,OldFriends
E0:F5:C6:D0:24:12,-73,00:24:7B:29:5C:CC,OldFriends
00:24:7B:29:87:4A,-79,00:24:7B:29:87:4A,WhisperBiscuit
00:24:7B:2A:AD:D4,-75,00:24:7B:2A:AD:D4,Jeannie
00:24:7B:2F:98:7E,-67,00:24:7B:2F:98:7E,louisvilletire
00:24:7B:5D:91:E0,-69,00:24:7B:5D:91:E0,myqwest2191
00:24:7B:64:91:BA,-69,00:24:7B:64:91:BA,myqwest0905
00:24:7B:65:16:E0,-71,00:24:7B:65:16:E0,myqwest4991
00:24:7B:71:E0:28,-71,00:24:7B:71:E0:28,Grammbab
00:24:7B:73:06:5E,-73,00:24:7B:73:06:5E,netgear123
00:24:7B:73:85:D2,-75,00:24:7B:73:85:D2,spbMA
00:24:7B:78:B6:F0,-73,00:24:7B:78:B6:F0,myqwest1151
00:24:7B:7E:9F:8C,-69,00:24:7B:7E:9F:8C,FordyceAutoCenter
00:24:7B:A0:59:96,-79,00:24:7B:A0:59:96,KINTZELS
00:24:7B:A2:7A:3A,-69,00:24:7B:A2:7A:3A,myqwest8121
00:24:7B:A9:A0:82,-71,00:24:7B:A9:A0:82,myqwest6673
00:24:7B:B4:CB:B2,-81,00:24:7B:B4:CB:B2,finnegan6731
00:24:7B:B6:FA:BA,-75,00:24:7B:B6:FA:BA,myqwest1737
00:24:7B:B6:FA:BB,-75,00:24:7B:B6:FA:BB,myqwest1738
00:24:7B:DE:37:A4,-69,00:24:7B:DE:37:A4,myqwest2963
00:24:7B:F3:79:BC,-79,00:24:7B:F3:79:BC,oneearth
00:24:7B:FB:DA:4C,-75,00:24:7B:FB:DA:4C,dusan1
00:24:7B:FE:8D:B0,-77,00:24:7B:FE:8D:B0,Front
C0:7C:D1:3F:FA:0B,-81,00:24:7B:FE:8D:B0,Front
00:24:B2:14:4F:A0,-67,00:24:B2:14:4F:A0,NETGEAR
00:24:B2:62:16:62,-47,00:24:B2:62:16:62,Jill
00:05:04:03:02:01,-81,00:24:B2:7C:E0:F4,Vogelsberg
00:24:B2:7C:E0:F4,-69,00:24:B2:7C:E0:F4,Vogelsberg
BE:D1:65:8B:54:FF,-75,00:24:B2:7C:E0:F4,Vogelsberg
00:24:B2:80:DA:A0,-71,00:24:B2:80:DA:A0,locomix
00:24:B2:98:23:9C,-81,00:24:B2:98:23:9C,BOWILINK
00:24:B2:9E:9F:D8,-79,00:24:B2:9E:9F:D8,cousins
00:24:B2:BF:DE:AC,-61,00:24:B2:BF:DE:AC,sierra
98:B8:E3:49:2F:6D,-83,00:24:B2:BF:DE:AC,sierra
00:24:B2:D5:94:8A,-77,00:24:B2:D5:94:8A,N47FOR0W
00:25:9C:79:60:38,-81,00:25:9C:79:60:38,hzwireless
00:25:9C:C9:86:5D,-79,00:25:9C:C9:86:5D,Shawn's Computer Repairs
00:25:BC:89:D5:CF,-77,00:25:BC:89:D5:CF,Wendy's Wi-Fi Network
00:26:75:BD:90:4E,-77,00:26:75:BD:90:4E,mccabe
00:26:82:C5:C0:49,-65,00:26:82:C5:C0:49,AlsPlace
00:26:88:E8:AF:B8,-71,00:26:88:E8:AF:B8,myqwest4869
00:26:B4:3C:FA:9A,-69,00:26:B4:3C:FA:9A,SYNC_00000000
00:26:B8:74:B8:C5,-79,00:26:B8:74:B8:C5,flattop
00:26:B8:7D:42:CE,-73,00:26:B8:7D:42:CE,stevedee
F8:BC:12:82:A3:6D,-81,00:26:B8:7D:42:CE,stevedee
00:26:B8:7E:34:15,-67,00:26:B8:7E:34:15,Samandbeanetwork1
00:26:BB:74:4D:2B,-69,00:26:BB:74:4D:2B,None
00:26:BB:74:83:C5,-75,00:26:BB:74:83:C5,None
00:26:BB:79:BF:FF,-69,00:26:BB:79:BF:FF, Michael Laage's Network
00:26:F2:03:10:98,-55,00:26:F2:03:10:98,stalhuth
00:26:F2:17:4B:4E,-73,00:26:F2:17:4B:4E,BIGHOUSE
00:26:F2:8E:71:E9,-59,00:26:F2:8E:71:E9,NETGEAR
00:26:F2:96:55:17,-77,00:26:F2:96:55:17,MFF9KYJG
00:26:F2:96:7E:89,-83,00:26:F2:96:7E:89,4337CK6M
00:26:F2:96:AE:25,-65,00:26:F2:96:AE:25,C6L27EO2
00:26:F2:96:B3:39,-77,00:26:F2:96:B3:39,kumquat
00:26:F3:40:85:38,-83,00:26:F3:40:85:38,HOME-8538
00:26:F3:40:85:39,-81,00:26:F3:40:85:39,None
00:26:F3:55:E8:28,-63,00:26:F3:55:E8:28,HOME-E828
00:26:F3:55:E8:29,-61,00:26:F3:55:E8:29,None
00:26:F3:55:E8:2A,-63,00:26:F3:55:E8:2A,None
00:26:F3:55:E8:2B,-61,00:26:F3:55:E8:2B,None
00:26:F3:70:DB:D8,-51,00:26:F3:70:DB:D8,HOME-DBD8
00:26:F3:70:DB:D9,-53,00:26:F3:70:DB:D9,None
00:26:F3:70:DB:DA,-51,00:26:F3:70:DB:DA,None
00:26:F3:70:DB:DB,-51,00:26:F3:70:DB:DB,None
00:26:F3:7E:0E:98,-67,00:26:F3:7E:0E:98,VanDuym
00:26:F3:7E:0E:99,-65,00:26:F3:7E:0E:99,None
00:26:F3:7E:0E:9A,-65,00:26:F3:7E:0E:9A,None
00:26:F3:7E:0E:9B,-65,00:26:F3:7E:0E:9B,None
00:26:F3:88:1D:69,-81,00:26:F3:88:1D:69,None
00:26:F3:88:1D:6A,-63,00:26:F3:88:1D:6A,None
00:26:F3:88:1D:6B,-73,00:26:F3:88:1D:6B,None
00:27:22:02:D4:AA,-79,00:27:22:02:D4:AA,None
00:27:22:3E:68:E1,-85,00:27:22:3E:68:E1,MRIC-Labelle-11b-1
00:27:22:4C:58:9C,-63,00:27:22:4C:58:9C,ubnt
40:2C:F4:EA:1B:00,-61,00:27:22:4C:58:9C,ubnt
BC:4C:C4:A9:1C:A1,-79,00:27:22:4C:58:9C,ubnt
00:30:44:13:8D:4A,-79,00:30:44:13:8D:4A,Steely
00:30:44:16:FE:DC,-75,00:30:44:16:FE:DC,SHANIDIN
00:30:44:21:F4:CD,-71,00:30:44:21:F4:CD,Scott's WiFi Extranvaganza
00:35:1A:DB:E3:90,-75,00:35:1A:DB:E3:90,YMCA-Guest
00:71:C2:59:F5:08,-67,00:71:C2:59:F5:08,HOME-4B91-2.4
00:71:C2:59:F5:09,-71,00:71:C2:59:F5:09,None
00:71:C2:59:F5:0A,-75,00:71:C2:59:F5:0A,xfinitywifi
00:71:C2:5E:1D:48,-81,00:71:C2:5E:1D:48,VOLS-2.4
00:71:C2:63:DD:58,-63,00:71:C2:63:DD:58,HOME-8CE9-2.4
00:71:C2:63:DD:59,-61,00:71:C2:63:DD:59,None
00:71:C2:63:DD:5A,-61,00:71:C2:63:DD:5A,xfinitywifi
00:1E:C2:C1:D8:DF,-63,00:71:C2:72:13:18,DownUnderG-2.4
00:71:C2:72:13:18,-59,00:71:C2:72:13:18,DownUnderG-2.4
76:54:7D:B2:08:89,-67,00:71:C2:72:13:18,DownUnderG-2.4
00:71:C2:72:13:1A,-63,00:71:C2:72:13:1A,xfinitywifi
00:71:C2:72:1F:28,-69,00:71:C2:72:1F:28,CBCI-5BA1-2.4
00:71:C2:7B:D0:E8,-79,00:71:C2:7B:D0:E8,HOME-C274-2.4
00:71:C2:7B:D0:E9,-77,00:71:C2:7B:D0:E9,None
00:71:C2:88:01:68,-75,00:71:C2:88:01:68,CBCI-F101-2.4
00:71:C2:88:01:6A,-75,00:71:C2:88:01:6A,xfinitywifi
00:71:C2:93:6F:70,-69,00:71:C2:93:6F:70,HOME-1CA3-2.4
00:71:C2:93:6F:72,-69,00:71:C2:93:6F:72,xfinitywifi
00:71:C2:9F:9F:52,-53,00:71:C2:9F:9F:52,xfinitywifi
00:71:C2:A7:24:B1,-71,00:71:C2:A7:24:B1,None
00:71:C2:A7:24:B2,-65,00:71:C2:A7:24:B2,xfinitywifi
00:71:C2:AA:C3:50,-65,00:71:C2:AA:C3:50,HOME-9FB8-2.4
00:71:C2:AA:C3:51,-71,00:71:C2:AA:C3:51,None
00:71:C2:AA:C3:52,-69,00:71:C2:AA:C3:52,xfinitywifi
00:71:C2:AD:AB:E0,-59,00:71:C2:AD:AB:E0,HOME-36B5-2.4
00:71:C2:AD:AB:E1,-65,00:71:C2:AD:AB:E1,None
00:71:C2:AD:AB:E2,-61,00:71:C2:AD:AB:E2,xfinitywifi
00:71:C2:B2:1F:68,-67,00:71:C2:B2:1F:68,HOME-135C-2.4
00:71:C2:B2:1F:69,-67,00:71:C2:B2:1F:69,None
00:71:C2:B2:1F:6A,-69,00:71:C2:B2:1F:6A,xfinitywifi
00:71:C2:B3:08:28,-79,00:71:C2:B3:08:28,HOME-DBAD-2.4
00:71:C2:B3:08:29,-79,00:71:C2:B3:08:29,None
00:71:C2:B3:08:2A,-81,00:71:C2:B3:08:2A,xfinitywifi
00:71:C2:BB:A4:50,-67,00:71:C2:BB:A4:50,HOME-8BE6-2.4
00:71:C2:BB:A4:51,-65,00:71:C2:BB:A4:51,None
00:71:C2:BB:A4:52,-65,00:71:C2:BB:A4:52,xfinitywifi
00:71:C2:C6:91:2A,-81,00:71:C2:C6:91:2A,xfinitywifi
00:71:C2:C9:24:88,-75,00:71:C2:C9:24:88,HOMEWIFI-2.4
00:71:C2:C9:24:8A,-71,00:71:C2:C9:24:8A,xfinitywifi
00:71:C2:C9:E2:E8,-79,00:71:C2:C9:E2:E8,GoldenHoof
00:71:C2:C9:E2:E9,-75,00:71:C2:C9:E2:E9,None
00:71:C2:C9:E2:EA,-79,00:71:C2:C9:E2:EA,xfinitywifi
00:71:C2:CA:BA:78,-75,00:71:C2:CA:BA:78,HOME-C6D4-2.4
00:71:C2:CA:BA:79,-77,00:71:C2:CA:BA:79,None
00:71:C2:D2:50:90,-71,00:71:C2:D2:50:90,HOME-996B-2.4
00:71:C2:D2:50:91,-73,00:71:C2:D2:50:91,None
00:71:C2:D2:50:92,-73,00:71:C2:D2:50:92,xfinitywifi
00:71:C2:D9:18:68,-61,00:71:C2:D9:18:68,HOME-AFC5-2.4
00:71:C2:D9:18:69,-59,00:71:C2:D9:18:69,None
00:71:C2:D9:18:6A,-59,00:71:C2:D9:18:6A,xfinitywifi
00:71:C2:E0:97:88,-73,00:71:C2:E0:97:88,Martinez
00:71:C2:E0:97:8A,-79,00:71:C2:E0:97:8A,xfinitywifi
00:71:C2:EB:44:20,-69,00:71:C2:EB:44:20,PARKER-2.4
00:71:C2:EB:44:21,-73,00:71:C2:EB:44:21,None
00:71:C2:EB:44:22,-69,00:71:C2:EB:44:22,xfinitywifi
00:71:C2:F2:1A:A8,-71,00:71:C2:F2:1A:A8,HOME-CBA5-2.4
00:71:C2:F2:1A:A9,-75,00:71:C2:F2:1A:A9,None
00:71:C2:F2:1A:AA,-69,00:71:C2:F2:1A:AA,xfinitywifi
00:71:C2:F6:82:18,-57,00:71:C2:F6:82:18,HOME-D579-2.4
00:71:C2:F6:82:19,-61,00:71:C2:F6:82:19,None
00:71:C2:F6:82:1A,-63,00:71:C2:F6:82:1A,xfinitywifi
00:71:C2:F6:FC:18,-63,00:71:C2:F6:FC:18,HOME-7996-2.4
00:71:C2:F6:FC:19,-65,00:71:C2:F6:FC:19,None
00:71:C2:F6:FC:1A,-65,00:71:C2:F6:FC:1A,xfinitywifi
00:71:C2:F7:9F:48,-73,00:71:C2:F7:9F:48,HOME-AC72-2.4
00:71:C2:F7:9F:49,-71,00:71:C2:F7:9F:49,None
00:71:C2:F8:65:B2,-61,00:71:C2:F8:65:B2,xfinitywifi
00:71:C2:F8:73:A8,-57,00:71:C2:F8:73:A8,CBCI-A7E3-2.4
00:71:C2:F8:73:AA,-49,00:71:C2:F8:73:AA,xfinitywifi
00:71:C2:F8:80:88,-69,00:71:C2:F8:80:88,CBCI-041B-2.4
00:71:C2:F8:80:8A,-69,00:71:C2:F8:80:8A,xfinitywifi
00:71:C2:F9:B6:D0,-71,00:71:C2:F9:B6:D0,CBCI-1D5F-2.4
00:71:C2:F9:B6:D2,-73,00:71:C2:F9:B6:D2,xfinitywifi
00:AC:E0:53:91:C0,-65,00:AC:E0:53:91:C0,HOME-91C2
00:AC:E0:75:CF:80,-73,00:AC:E0:75:CF:80,HOME-CF82
00:AC:E0:E2:10:30,-71,00:AC:E0:E2:10:30,HOME-1032
00:F7:6F:CD:97:C6,-75,00:F7:6F:CD:97:C6,Lauric Base
02:18:4A:2F:99:A1,-79,02:18:4A:2F:99:A1,Balfour_Guest
02:18:4A:2F:99:A3,-77,02:18:4A:2F:99:A3,fpos
02:1D:CF:8B:6C:00,-73,02:1D:CF:8B:6C:00,None
02:1D:D0:07:84:70,-81,02:1D:D0:07:84:70,None
02:1D:D0:08:D0:B0,-85,02:1D:D0:08:D0:B0,None
02:1D:D0:1A:2D:10,-75,02:1D:D0:1A:2D:10,None
02:1D:D0:1D:98:50,-77,02:1D:D0:1D:98:50,None
02:1D:D0:6F:96:10,-73,02:1D:D0:6F:96:10,None
02:1D:D0:EA:24:10,-75,02:1D:D0:EA:24:10,None
02:1D:D1:0A:09:B0,-65,02:1D:D1:0A:09:B0,None
02:1D:D1:1B:FC:C0,-61,02:1D:D1:1B:FC:C0,None
02:1D:D1:36:35:30,-55,02:1D:D1:36:35:30,None
02:1D:D1:76:98:B0,-85,02:1D:D1:76:98:B0,None
02:1D:D1:77:39:E0,-57,02:1D:D1:77:39:E0,None
02:1D:D2:0E:6D:50,-73,02:1D:D2:0E:6D:50,None
02:1D:D2:3F:55:00,-75,02:1D:D2:3F:55:00,None
02:1D:D2:61:0F:C0,-77,02:1D:D2:61:0F:C0,None
02:1D:D2:69:D2:50,-65,02:1D:D2:69:D2:50,None
02:1D:D2:69:FE:40,-69,02:1D:D2:69:FE:40,None
02:1D:D3:0F:94:C0,-71,02:1D:D3:0F:94:C0,None
02:1D:D3:52:30:F0,-87,02:1D:D3:52:30:F0,None
02:1D:D3:A2:F3:A0,-55,02:1D:D3:A2:F3:A0,None
02:1D:D3:AF:ED:50,-59,02:1D:D3:AF:ED:50,None
02:1D:D4:3E:C1:10,-73,02:1D:D4:3E:C1:10,None
02:1D:D4:8B:A3:F0,-65,02:1D:D4:8B:A3:F0,None
02:1D:D4:8D:1D:20,-79,02:1D:D4:8D:1D:20,None
02:1D:D4:8D:5C:B0,-51,02:1D:D4:8D:5C:B0,None
02:1D:D5:20:56:80,-79,02:1D:D5:20:56:80,None
02:1D:D5:20:73:50,-73,02:1D:D5:20:73:50,None
02:1D:D5:86:20:50,-79,02:1D:D5:86:20:50,None
02:1D:D5:87:9F:50,-63,02:1D:D5:87:9F:50,None
02:1D:D5:FA:E4:70,-51,02:1D:D5:FA:E4:70,None
